x,y,z
1301.2,1757.4,0
1525.5,835.5,0
2960,1688,0
2530.9,1717.7,0
2301.5,2655,0
1368.3,145.76,0
1868.7,1884.3,0
2369.1,1624.3,0
1255,420.17,0
2455,518.6,0
1059.5,3055,0
2289.5,1463.5,0
2264.7,1156.3,0
3705,3699,0
1629,5283,0
1629,5283,0
1629,5283,0
1629,5283,0
1629,5283,0
1629,5283,0
1629,5283,0
1629,5283,0
2025.5,1049,0
3252.3,2969.3,0
1211,1616,0
3016.5,2783,0
1.2438e+06,1.2438e+06,0
1090.7,2714.7,0
2552.4,988.2,0
2402.5,1815,0
1864.5,2902,0
2095,248,0
1518.9,2303.7,0
1191.7,538.33,0
1457.8,200.36,0
NaN,46235,0
1812,176.5,0
1969.5,1779,0
2.1248e+05,2.1248e+05,0
2,4,0
1445.8,970.4,0
2137.3,2973.3,0
2,2,0
2504.8,1543.5,0
2381,1700,0
1159.5,1654.5,0
659.25,517.75,0
1166.1,1404.2,0
1447.5,2059,0
1.1848e+06,19619,0
1644,2796.5,0
46235,NaN,0
1205.2,787.31,0
1336,2235.5,0
46235,NaN,0
3164,2297.2,0
2,1,0
7.2884e+05,1.0029e+08,0
2771,2726.5,0
822.8,2359.8,0
1902,2660,0
923.5,2093.5,0
1155.7,1383.2,0
814.5,45,0
407.5,794.5,0
1406.5,1484.5,0
9,1,0
2,2,0
52926,1.1032e+06,0
NaN,1.1425e+06,0
3058.3,2147.7,0
1.0087e+08,1.0087e+08,0
46235,NaN,0
46235,NaN,0
1183,2857.7,0
46235,NaN,0
680,2298.2,0
NaN,46235,0
1095.3,812.33,0
NaN,46235,0
NaN,46235,0
1321.5,2628.3,0
NaN,46235,0
NaN,46235,0
1884.4,1752.9,0
NaN,46235,0
NaN,46235,0
2153.1,1229.5,0
NaN,46235,0
2182.2,299.09,0
2391.5,42.8,0
NaN,46235,0
NaN,46235,0
2878,3282,0
2905,2834.2,0
NaN,46235,0
547.53,723.33,0
762.75,2809,0
1116.2,3226.9,0
2210.8,2737.6,0
3286.2,NaN,0
3286.2,NaN,0
3286.2,NaN,0
3286.2,NaN,0
418,378,0
615,608.5,0
4200,4105,0
3221.6,2767.4,0
1207,249.5,0
716.09,247.05,0
955.67,744.83,0
739,1227.7,0
3286.2,NaN,0
809.15,3036.4,0
1274,365.31,0
1564.8,3232,0
3286.2,NaN,0
1836,1257.3,0
3286.2,NaN,0
1943.9,2776.6,0
3286.2,NaN,0
2126.5,2214.3,0
3286.2,NaN,0
3286.2,NaN,0
3286.2,NaN,0
2727.2,1544.7,0
3286.2,NaN,0
1565.4,1767.5,0
NaN,46235,0
NaN,46235,0
2419.1,568.33,0
NaN,46235,0
NaN,46235,0
46235,3286.2,0
46235,3286.2,0
1836.5,2894.1,0
46235,3286.2,0
46235,3286.2,0
46235,3286.2,0
3286.2,46235,0
3286.2,46235,0
2675.5,966.5,0
2312.2,2362.2,0
2655.2,3085.2,0
1330,1804.5,0
1469,375.5,0
1870.4,1438,0
46235,NaN,0
2602.8,2943.4,0
3286.2,NaN,0
1952.7,3009.6,0
2295.2,1585,0
2111.1,2629.2,0
46235,NaN,0
402.83,505.17,0
668.57,1252.4,0
819.44,1173.6,0
NaN,46235,0
1127.2,1457.2,0
NaN,46235,0
1145.4,1788.8,0
1154.8,1171.8,0
3814,3,0
NaN,46235,0
1570.7,2908.8,0
1584.4,1545.4,0
NaN,46235,0
1646.1,538.14,0
NaN,46235,0
NaN,46235,0
1851.3,3151.7,0
1972.9,2695.1,0
2052.2,2293.2,0
2094.1,642.37,0
NaN,46235,0
NaN,46235,0
2429.3,2239.1,0
2434,3277.1,0
2439.2,2158.6,0
2447,998,0
2580,2479.5,0
NaN,46235,0
2637.5,332.63,0
NaN,46235,0
2708.9,973.12,0
2787.1,770.33,0
3048,850.83,0
NaN,46235,0
NaN,46235,0
3201.5,2015.7,0
NaN,46235,0
NaN,46235,0
NaN,3286.2,0
205.03,808.12,0
NaN,3286.2,0
274.8,668.6,0
460.4,1099.3,0
NaN,3286.2,0
NaN,3286.2,0
703,1013,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
1243,1887.3,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
1906.8,2403.8,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
2332.2,3029.5,0
NaN,3286.2,0
NaN,3286.2,0
2373.5,2367,0
2636.3,736.76,0
NaN,3286.2,0
2460.6,862.19,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
277.33,569.78,0
1199.8,881.45,0
NaN,3286.2,0
NaN,3286.2,0
1774,1074.5,0
905.02,2288.6,0
1678.5,1420.8,0
2202,2018,0
2287,1427.8,0
1907.8,606.04,0
2529,2008.5,0
1167,2400.5,0
1806,1442.5,0
5497,5452,0
3170.5,3150.5,0
1409.9,871.83,0
2,5,0
2446.5,1013,0
2,0,0
1370.5,2620,0
2678.5,2301,0
1035.2,423.17,0
2485.8,2705.5,0
2,1,0
2,4,0
2078.9,860.38,0
623.5,394,0
738.5,1972,0
547.2,418.4,0
656,1965,0
1363,339.75,0
2991.3,1347.7,0
2871.9,2383.4,0
1245,85.5,0
1416.8,105,0
1.2782e+06,1.1024e+06,0
2494,1882.5,0
813.1,1623.8,0
1593.2,2774.5,0
1867.5,1167.5,0
544.5,131.5,0
876.28,2697.6,0
3203.5,3143,0
46235,3287.2,0
46235,3287.2,0
814.5,1224.5,0
937.17,418.67,0
1372.2,815.67,0
46235,3287.2,0
1746.8,837.89,0
2022.4,3184.3,0
46235,3287.2,0
46235,3287.2,0
46235,3287.2,0
2469,2579.2,0
2476.7,2520.4,0
2551.1,656.25,0
46235,3287.2,0
2707.9,1933.1,0
2760.5,964.21,0
46235,3287.2,0
46235,3287.2,0
2124.8,2359.9,0
NaN,46235,0
46235,NaN,0
1427.6,3001.7,0
3287.2,46235,0
1372.5,1642.1,0
1515.1,1199.4,0
3287.2,46235,0
1750.2,3141.6,0
3193.2,2387.1,0
NaN,3287.2,0
881.03,1991.7,0
NaN,3287.2,0
NaN,3287.2,0
NaN,3287.2,0
NaN,3287.2,0
2464.8,893,0
46235,3287.2,0
815.62,1588.5,0
46235,3287.2,0
46235,3287.2,0
1472.4,1266.9,0
46235,3287.2,0
46235,3287.2,0
46235,3287.2,0
46235,3287.2,0
2691.8,2669.3,0
46235,3287.2,0
46235,3287.2,0
3188.5,3133,0
NaN,NaN,0
1502,1064,0
2949,1582.7,0
3182.5,456,0
529,711.5,0
4742,4651,0
1639,3252.5,0
2284,2186.3,0
1,1,0
1,1,0
2,2,0
721.05,990.1,0
2,1,0
1973.3,2216.3,0
3286.2,46235,0
NaN,3286.2,0
3286.2,NaN,0
3286.2,NaN,0
3286.2,NaN,0
NaN,3286.2,0
1494.9,2349.9,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
3286.2,NaN,0
2127.9,915.38,0
3286.2,NaN,0
2804.7,784.67,0
2835.7,2707.3,0
3286.2,NaN,0
3260.3,2151.9,0
811.8,1077.1,0
1193.6,1060.9,0
1584.2,1873.2,0
2108.8,2051.8,0
3286.2,46235,0
3286.2,46235,0
2075.2,1244.9,0
1117.3,1398,0
1.1448e+06,1.1448e+06,0
2155.5,3027.5,0
1498.5,2527.5,0
2203.5,68.167,0
2467.5,2714,0
978,2070.2,0
733.33,227.67,0
2322.5,1426.5,0
2011.2,395.5,0
2656.7,744.67,0
934.71,1504.6,0
4,0,0
782,869,0
2,3,0
2,2,0
315.67,983.33,0
2206.3,2896.7,0
2105.7,1592.9,0
697,515,0
2459.9,705.64,0
3253.4,2474.8,0
1.2583e+06,1.2583e+06,0
NaN,NaN,0
2648.7,165.43,0
NaN,NaN,0
3069.6,318.71,0
1.7653,2365.7,0
6216.3,73116,0
14,0,0
1.621,1599.2,0
861.5,437,0
1721.5,3025,0
2424.3,2638.7,0
1584,1767,0
2532.5,2649,0
3045,2527,0
3000.5,3231.8,0
3286.2,46235,0
1355,2003.5,0
2,1,0
2386.9,2957.8,0
1891,1894,0
11581,2,0
767.41,2884.2,0
2229.3,3088.9,0
7283,7357,0
1695,1411,0
2,2,0
2239,163.43,0
1790,2719,0
3171.5,2527,0
1437,1663,0
1925.5,2977,0
1.816,2215.5,0
1408,2768,0
789,309.57,0
2,2,0
NaN,3287.2,0
3107,640.5,0
2462,1555.5,0
1366.6,2285.2,0
911,357.8,0
1485.1,3027.9,0
2522.6,1594.3,0
46235,NaN,0
887.5,2073,0
1217.5,3008,0
1860.2,3230.4,0
1967.7,1298.8,0
46235,NaN,0
2945,289.5,0
46235,NaN,0
1274.5,437.5,0
46235,NaN,0
1868.2,3020.2,0
46235,NaN,0
2404,1727.5,0
2808.8,2699.1,0
3263,1275.5,0
922,2098,0
929.67,2088.7,0
2098.5,3156.5,0
1585,1734,0
2769.5,885.5,0
2460.8,138.75,0
774.67,2522.7,0
1084,868.5,0
3,1,0
1087.2,2928,0
2752.4,1.3907e+05,0
NaN,NaN,0
NaN,NaN,0
NaN,NaN,0
46235,NaN,0
3285.2,NaN,0
3285.2,NaN,0
NaN,NaN,0
0,1.8922,0
2,2,0
2260.7,3095.1,0
1.8922,2798.9,0
2162,2162,0
2,5,0
1642.1,2332.6,0
3000,2741.5,0
2707.5,3048,0
1805.5,196.5,0
273.5,508.25,0
328.29,542.53,0
645.8,1785.8,0
949,1420.5,0
3017,2153,0
1206,2741.8,0
1262.8,530.25,0
1615.8,2249.8,0
1812,1007.9,0
2264.5,3001,0
1678.5,1387,0
2489.4,3203.1,0
1243.3,3099,0
2553.5,2024.9,0
2673,1679.5,0
2751.4,874.62,0
2734,1286.5,0
2272,1875.5,0
2892.6,1577.2,0
2896.2,1841.4,0
1915.3,3178.7,0
3209.4,2463.4,0
2759.7,823.43,0
2428.7,3275.2,0
1588,1582,0
818.5,1037,0
2392.5,1.1453e+06,0
2628.7,2871.9,0
13,1,0
1098.1,680.08,0
819,758,0
1857,745.25,0
613.5,1101,0
1457,1077,0
2150.5,3276,0
3074.7,2741.3,0
1429.3,2538.3,0
2610.5,835.5,0
30666,1749,0
3115,2700,0
1450.5,1180,0
3287.2,NaN,0
2350.7,1874.3,0
1362.5,1538.8,0
1722.9,1912.7,0
2691,3,0
2691,2,0
2148,2906.5,0
11,1,0
13983,13982,0
2762.2,2753.6,0
1.6706,2666.5,0
2278.9,2594.4,0
2837.4,1.1098e+06,0
1176.7,1592,0
3,3,0
1755,1626,0
2206,3247.5,0
1323.7,2863.5,0
1409.8,660.25,0
2009.5,1101.5,0
1999,1816.5,0
NaN,3287.2,0
NaN,46235,0
3104,1745.4,0
1144,885.67,0
46235,NaN,0
3287.2,46235,0
3287.2,46235,0
2910.9,1183.3,0
847.53,509.33,0
1465.1,1923.6,0
3243.6,2449.1,0
2900.8,2195.5,0
1.2707e+06,1.7584e+05,0
2857.5,2526.5,0
962.75,2336.5,0
1288,358,0
2,0,0
3072.7,1403.7,0
46235,3287.2,0
46235,3287.2,0
46235,3287.2,0
46235,3287.2,0
1540.3,2562.7,0
1552.8,604.2,0
46235,3287.2,0
46235,3287.2,0
637,1154.5,0
2743.3,3272.7,0
1731.1,2709.3,0
NaN,NaN,0
3,2,0
1299.5,2361,0
1963.8,1976.8,0
5143.3,20995,0
37804,2221,0
1.2044e+06,1.2044e+06,0
28,76,0
917,2146,0
1189.9,892.97,0
1694,2441.5,0
1.2583e+06,6034.3,0
2634.4,744.64,0
4,1,0
NaN,5617.3,0
2153.7,1981.2,0
1100.3,1220.3,0
2731.6,1475,0
12,3,0
1412,1490.5,0
1548.5,860.5,0
2,1,0
3018.7,1023.3,0
2428.5,1723,0
522.5,1160.5,0
805.5,2142,0
2105,3279.5,0
1426.5,1368.5,0
2475,3179.5,0
1831,3091,0
23,23,0
28,0,0
306.72,581.72,0
1306,59.5,0
622,403.5,0
2,4,0
2,2,0
1.1691e+06,1.1691e+06,0
1562.3,1066.3,0
3,4,0
2742.4,1324,0
1579.4,2765.2,0
46235,3287.2,0
391.57,605.43,0
20775,38,0
3133,2734.5,0
1291,843.5,0
312.5,1309.5,0
3247.2,2307.4,0
80,80,0
2729.5,1840,0
3101,2555.8,0
2309,2090,0
2242.9,895.75,0
1262.2,2595.8,0
2655.5,1681,0
2,2,0
2710.5,2636.7,0
1965.7,2730.7,0
2056.7,1136.7,0
2283.5,1513,0
1293,2443.5,0
NaN,46235,0
948.1,407.7,0
1091.6,560,0
1469.9,3087.5,0
1622.3,2713.7,0
1933.4,402.98,0
1939,1508.5,0
1961,1650,0
2154.2,2866,0
NaN,46235,0
2572.3,583.11,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
1754.5,554,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
NaN,3286.2,0
3149,1020.2,0
624.78,1780.2,0
46235,NaN,0
1513.5,1012,0
2042.8,2838.5,0
2325.4,1132.8,0
1662.5,1364,0
1507.5,3139,0
1.1439e+06,1.1439e+06,0
2,4,0
1944.3,987.43,0
665,507.5,0
1665,2771.5,0
1462.3,996.86,0
2,0,0
3287.2,46235,0
2940.5,2521.5,0
1447,1028,0
2117,2601.5,0
2307.2,1983.6,0
2293.8,451.17,0
1157.5,1882,0
608.02,647.4,0
NaN,1.0052e+06,0
1126.5,3272.7,0
3287.2,46235,0
3287.2,NaN,0
3287.2,NaN,0
NaN,3287.2,0
NaN,3287.2,0
NaN,3287.2,0
3146.3,1210,0
3287.2,46235,0
3287.2,46235,0
3287.2,46235,0
3287.2,46235,0
1749.4,278,0
79423,21019,0
354,955.5,0
2164.9,1681.2,0
826,525.5,0
1561.7,430.74,0
2747.3,1413.5,0
3172.5,1715.5,0
2831.2,3207.8,0
6235,6259,0
960.67,1447.7,0
1.3345e+05,1.0399e+06,0
2100.5,2191,0
22,2,0
1508,875,0
55771,6029,0
2754.5,685,0
1964.4,286.44,0
2286,675.5,0
NaN,NaN,0
1644.1,906.29,0
7229,7250,0
7229,7250,0
7229,7250,0
1892.5,1.2717e+06,0
1420.3,785.67,0
1829.5,1288,0
2227.5,1974.6,0
1220.5,1235,0
1202.4,1855.3,0
1.712,2148,0
1424.5,3009,0
3286.2,NaN,0
2590.3,3206.1,0
3286.2,NaN,0
1421,2560.5,0
NaN,NaN,0
2,2,0
1878.7,628.33,0
950.89,929.04,0
924,1788.5,0
2,0,0
3210,3210,0
840,1570.8,0
2444.5,445.5,0
3132.5,666,0
2,4,0
NaN,NaN,0
3606,2,0
35,0,0
497.5,636,0
1442,4,0
1727.5,1776,0
2041,296.5,0
2974.5,2710.5,0
2,0,0
318.7,1004.1,0
46235,NaN,0
468.57,2049.8,0
706.61,388.72,0
46235,NaN,0
46235,NaN,0
46235,NaN,0
992.69,194.38,0
1020.2,942.89,0
46235,NaN,0
1154.6,211.16,0
46235,NaN,0
46235,NaN,0
46235,NaN,0
46235,NaN,0
46235,NaN,0
46235,NaN,0
1416.7,139.93,0
46235,NaN,0
1525.3,2482.6,0
1604.9,1640,0
1723.6,2686.7,0
1741.9,1082.8,0
46235,NaN,0
1793.5,1912.2,0
1818.4,1271.1,0
1898.5,1201.5,0
1970.6,1260.1,0
46235,NaN,0
2020.8,2526.2,0
2087,1380.6,0
2094.9,120.82,0
2150.7,395.73,0
2211,2066.9,0
2213.1,1502.2,0
46235,NaN,0
2309.8,2852.2,0
46235,NaN,0
2408.6,312.04,0
2543.9,2611.2,0
2597,1767.1,0
2749.4,801.46,0
2886.9,2430.5,0
46235,NaN,0
46235,NaN,0
3022,2032.5,0
46235,NaN,0
3173.2,1525.1,0
3196.4,2555.1,0
46235,NaN,0
1140.8,2534.2,0
1745.2,2505.4,0
46235,NaN,0
46235,NaN,0
3171.4,2047.8,0
632.23,565.31,0
NaN,46235,0
1132.8,1463,0
4635,3,0
1197,962.67,0
NaN,46235,0
1239,440.87,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
1495.5,1727.5,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
1948.5,2335.5,0
NaN,46235,0
2081.3,151.15,0
NaN,46235,0
2132.8,1507.5,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
2332,816.11,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
2569.3,567.61,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
NaN,46235,0
2673.5,2648.1,0
NaN,46235,0
2787.5,2831.5,0
