"string_rna_class","centroid_x","centroid_y"
"+RIBO18S",1301.25,1757.375
"-NM",1525.5,835.5
"-NM",2960,1688
"+RIBO18S",2530.94736842,1717.73684211
"+RIBO18S",2301.5,2655
"+RIBO18S",1368.33333333,145.761904762
"+RIBO18S",1868.66666667,1884.33333333
"+RIBO28S",2369.08333333,1624.33333333
"-NM",1255,420.166666667
"+NM",2455,518.6
"+NM",1059.5,3055
"-NM",2289.5,1463.5
"+NR",2264.66666667,1156.33333333
"+NM","3705,3699
"+NR","1629,5283"
"+NR","1629,5283"
"+NR","1629,5283"
"+NR","1629,5283"
"+NR","1629,5283"
"+NR","1629,5283"
"+NR","1629,5283"
"+NR","1629,5283"
"+NR",2025.5,1049
"+NM",3252.33333333,2969.33333333
"+NR",1211,1616
"-NM",3016.5,2783
"-NM",NM_001243798.1,NM_001243799.1
"+RIBO28S",1090.66666667,2714.66666667
"+RIBO28S",2552.4,988.2
"+RIBO28S",2402.5,1815
"-NM",1864.5,2902
"+NM",2095,248
"+RIBO18S",1518.85714286,2303.71428571
"+RIBO28S",1191.66666667,538.333333333
"+RIBO28S",1457.8,200.36
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_046235.1"
"-NM",1812,176.5
"-NM",1969.5,1779
"+NM",NM_212476.1,NM_212478.1
"-NM",2,4
"-NR",1445.8,970.4
"-NM",2137.33333333,2973.33333333
"+NM",2,2
"-NM",2504.83333333,1543.5
"+NM","2381,1700
"+NM",1159.5,1654.5
"+NM",659.25,517.75
"+RIBO28S",1166.10526316,1404.15789474
"+NR",1447.5,2059
"+NM",NM_001184786.1,NM_019619.3
"-NR",1644,2796.5
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",1205.1875,787.3125
"+RIBO28S",1336,2235.5
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",3164,2297.25
"-NM",2,1
"+NM,728841,100288142
"+NR",2771,2726.5
"+NM",822.8,2359.8
"+NM",1902,2660
"+NM",923.5,2093.5
"+RIBO28S",1155.66666667,1383.25
"+RIBO28S",814.5,45
"+NM",407.5,794.5
"+NM",1406.5,1484.5
"-NM",9,1
"-NM",2,2
"-NM",NM_052926.2,NM_001103151.1"
"-NM",-","NM_001142531.1
"-NM",3058.33333333,2147.66666667
"+NR",100873754,100873760"
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",1183,2857.71428571
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",680,2298.18181818
