Var1_1,Var1_2
-1,1
17,2965.5
16.5,2966
15.5,2968
8.5,2985
6.5,3024
5.5,3065
5.5,3066
5.5,3067
5.5,3068
5.5,3069
5.5,3070
5.5,3071
5.5,3072
5.5,3073
5.5,3074
5.5,3075
5.5,3076
5.5,3077
5.5,3078
5.5,3079
5.5,3080
5.5,3081
5.5,3082
5.5,3083
5.5,3084
5.5,3085
5.5,3086
5.5,3087
5.5,3088
6.5,3090
7,3090.5
7.5,3091
8,3091.5
8.5,3092
9,3092.5
9.5,3093
10,3093.5
10.5,3094
11,3094.5
11.5,3095
12,3095.5
12.5,3096
13,3096.5
13.5,3097
14,3097.5
14.5,3098
15,3098.5
15.5,3099
16,3099.5
16.5,3100
17,3100.5
17.5,3101
18,3101.5
18.5,3102
19,3102.5
19.5,3103
20,3103.5
20.5,3104
21,3104.5
23,3105.5
24,3105.5
25,3105.5
26,3105.5
27,3105.5
28,3105.5
29,3105.5
30,3105.5
31,3105.5
32,3105.5
33,3105.5
34,3105.5
35,3105.5
36,3105.5
37,3105.5
38,3105.5
39,3105.5
40,3105.5
41,3105.5
42,3105.5
43,3105.5
44,3105.5
45,3105.5
46,3105.5
47,3105.5
48,3105.5
49,3105.5
50,3105.5
51,3105.5
52,3105.5
53,3105.5
54,3105.5
55,3105.5
56,3105.5
58,3104.5
60,3103.5
63,3101.5
63.5,3101
64,3100.5
64.5,3100
65,3099.5
65.5,3099
66,3098.5
66.5,3098
67,3097.5
67.5,3097
68,3096.5
68.5,3096
69,3095.5
69.5,3095
70,3094.5
70.5,3094
71,3093.5
71.5,3093
72,3092.5
72.5,3092
73,3091.5
73.5,3091
74,3090.5
74.5,3090
75,3089.5
75.5,3089
76,3088.5
76.5,3088
77,3087.5
77.5,3087
78,3086.5
78.5,3086
79,3085.5
79.5,3085
82.5,3081
83.5,3079
86.5,3073
87.5,3071
88.5,3069
96.5,3052
97.5,3049
101.5,3034
103.5,3012
103.5,3011
103.5,3010
103.5,3009
103.5,3008
103.5,3007
103.5,3006
103.5,3005
103.5,3004
103.5,3003
103.5,3002
103.5,3001
103.5,3000
103.5,2999
103.5,2998
103.5,2997
103.5,2996
103.5,2995
103.5,2994
103.5,2993
103.5,2992
103.5,2991
103.5,2990
103.5,2989
103.5,2988
103.5,2987
103.5,2986
103.5,2985
103.5,2984
103.5,2983
103.5,2982
103.5,2981
101.5,2974
100.5,2972
100,2971.5
99.5,2971
99,2970.5
98.5,2970
98,2969.5
97.5,2969
97,2968.5
96.5,2968
96,2967.5
95.5,2967
95,2966.5
94.5,2966
94,2965.5
93.5,2965
93,2964.5
92.5,2964
92,2963.5
91.5,2963
91,2962.5
90.5,2962
90,2961.5
89.5,2961
89,2960.5
88.5,2960
88,2959.5
87.5,2959
87,2958.5
86.5,2958
86,2957.5
85.5,2957
85,2956.5
84.5,2956
84,2955.5
83.5,2955
83,2954.5
82.5,2954
82,2953.5
81.5,2953
81,2952.5
79,2951.5
76,2950.5
75,2950.5
74,2950.5
73,2950.5
72,2950.5
71,2950.5
70,2950.5
69,2950.5
68,2950.5
67,2950.5
66,2950.5
65,2950.5
64,2950.5
63,2950.5
62,2950.5
61,2950.5
60,2950.5
59,2950.5
58,2950.5
57,2950.5
56,2950.5
55,2950.5
54,2950.5
53,2950.5
52,2950.5
51,2950.5
50,2950.5
49,2950.5
48,2950.5
47,2950.5
46,2950.5
45,2950.5
44,2950.5
43,2950.5
42,2950.5
41,2950.5
40,2950.5
39,2950.5
38,2950.5
37,2950.5
36,2950.5
35,2950.5
34,2950.5
33,2950.5
31,2951.5
30.5,2952
30,2952.5
29.5,2953
29,2953.5
28.5,2954
28,2954.5
27.5,2955
27,2955.5
26.5,2956
26,2956.5
25.5,2957
25,2957.5
24.5,2958
24,2958.5
23.5,2959
23,2959.5
22.5,2960
22,2960.5
21.5,2961
21,2961.5
20.5,2962
20,2962.5
19.5,2963
19,2963.5
18.5,2964
18,2964.5
17.5,2965
17,2965.5
-1,2
48,1250.5
47.5,1251
43.5,1258
42.5,1260
42.5,1261
42.5,1262
42.5,1263
42.5,1264
42.5,1265
42.5,1266
42.5,1267
42.5,1268
42.5,1269
42.5,1270
42.5,1271
42.5,1272
42.5,1273
42.5,1274
42.5,1275
42.5,1276
42.5,1277
42.5,1278
42.5,1279
42.5,1280
42.5,1281
42.5,1282
42.5,1283
42.5,1284
42.5,1285
42.5,1286
42.5,1287
42.5,1288
42.5,1289
42.5,1290
42.5,1291
42.5,1292
42.5,1293
42.5,1294
44.5,1310
47.5,1319
48.5,1321
72.5,1354
75.5,1358
76,1358.5
76.5,1359
77,1359.5
77.5,1360
78,1360.5
78.5,1361
79,1361.5
79.5,1362
80,1362.5
80.5,1363
81,1363.5
81.5,1364
82,1364.5
82.5,1365
83,1365.5
83.5,1366
84,1366.5
84.5,1367
85,1367.5
85.5,1368
86,1368.5
86.5,1369
87,1369.5
87.5,1370
88,1370.5
88.5,1371
89,1371.5
89.5,1372
90,1372.5
90.5,1373
91,1373.5
112,1392.5
114,1393.5
115,1393.5
116,1393.5
117,1393.5
118,1393.5
119,1393.5
120,1393.5
121,1393.5
122,1393.5
123,1393.5
124,1393.5
125,1393.5
126,1393.5
127,1393.5
128,1393.5
129,1393.5
130,1393.5
131,1393.5
132,1393.5
133,1393.5
134,1393.5
135,1393.5
136,1393.5
137,1393.5
138,1393.5
155,1391.5
157,1390.5
170,1383.5
170.5,1383
171,1382.5
171.5,1382
172,1381.5
172.5,1381
173,1380.5
173.5,1380
174,1379.5
174.5,1379
