Var1_1,Var1_2,Var1_3
-1,1,0
17,2965.5,0
16.5,2966,0
15.5,2968,0
8.5,2985,0
6.5,3024,0
5.5,3065,0
5.5,3066,0
5.5,3067,0
5.5,3068,0
5.5,3069,0
5.5,3070,0
5.5,3071,0
5.5,3072,0
5.5,3073,0
5.5,3074,0
5.5,3075,0
5.5,3076,0
5.5,3077,0
5.5,3078,0
5.5,3079,0
5.5,3080,0
5.5,3081,0
5.5,3082,0
5.5,3083,0
5.5,3084,0
5.5,3085,0
5.5,3086,0
5.5,3087,0
5.5,3088,0
6.5,3090,0
7,3090.5,0
7.5,3091,0
8,3091.5,0
8.5,3092,0
9,3092.5,0
9.5,3093,0
10,3093.5,0
10.5,3094,0
11,3094.5,0
11.5,3095,0
12,3095.5,0
12.5,3096,0
13,3096.5,0
13.5,3097,0
14,3097.5,0
14.5,3098,0
15,3098.5,0
15.5,3099,0
16,3099.5,0
16.5,3100,0
17,3100.5,0
17.5,3101,0
18,3101.5,0
18.5,3102,0
19,3102.5,0
19.5,3103,0
20,3103.5,0
20.5,3104,0
21,3104.5,0
23,3105.5,0
24,3105.5,0
25,3105.5,0
26,3105.5,0
27,3105.5,0
28,3105.5,0
29,3105.5,0
30,3105.5,0
31,3105.5,0
32,3105.5,0
33,3105.5,0
34,3105.5,0
35,3105.5,0
36,3105.5,0
37,3105.5,0
38,3105.5,0
39,3105.5,0
40,3105.5,0
41,3105.5,0
42,3105.5,0
43,3105.5,0
44,3105.5,0
45,3105.5,0
46,3105.5,0
47,3105.5,0
48,3105.5,0
49,3105.5,0
50,3105.5,0
51,3105.5,0
52,3105.5,0
53,3105.5,0
54,3105.5,0
55,3105.5,0
56,3105.5,0
58,3104.5,0
60,3103.5,0
63,3101.5,0
63.5,3101,0
64,3100.5,0
64.5,3100,0
65,3099.5,0
65.5,3099,0
66,3098.5,0
66.5,3098,0
67,3097.5,0
67.5,3097,0
68,3096.5,0
68.5,3096,0
69,3095.5,0
69.5,3095,0
70,3094.5,0
70.5,3094,0
71,3093.5,0
71.5,3093,0
72,3092.5,0
72.5,3092,0
73,3091.5,0
73.5,3091,0
74,3090.5,0
74.5,3090,0
75,3089.5,0
75.5,3089,0
76,3088.5,0
76.5,3088,0
77,3087.5,0
77.5,3087,0
78,3086.5,0
78.5,3086,0
79,3085.5,0
79.5,3085,0
82.5,3081,0
83.5,3079,0
86.5,3073,0
87.5,3071,0
88.5,3069,0
96.5,3052,0
97.5,3049,0
101.5,3034,0
103.5,3012,0
103.5,3011,0
103.5,3010,0
103.5,3009,0
103.5,3008,0
103.5,3007,0
103.5,3006,0
103.5,3005,0
103.5,3004,0
103.5,3003,0
103.5,3002,0
103.5,3001,0
103.5,3000,0
103.5,2999,0
103.5,2998,0
103.5,2997,0
103.5,2996,0
103.5,2995,0
103.5,2994,0
103.5,2993,0
103.5,2992,0
103.5,2991,0
103.5,2990,0
103.5,2989,0
103.5,2988,0
103.5,2987,0
103.5,2986,0
103.5,2985,0
103.5,2984,0
103.5,2983,0
103.5,2982,0
103.5,2981,0
101.5,2974,0
100.5,2972,0
100,2971.5,0
99.5,2971,0
99,2970.5,0
98.5,2970,0
98,2969.5,0
97.5,2969,0
97,2968.5,0
96.5,2968,0
96,2967.5,0
95.5,2967,0
95,2966.5,0
94.5,2966,0
94,2965.5,0
93.5,2965,0
93,2964.5,0
92.5,2964,0
92,2963.5,0
91.5,2963,0
91,2962.5,0
90.5,2962,0
90,2961.5,0
89.5,2961,0
89,2960.5,0
88.5,2960,0
88,2959.5,0
87.5,2959,0
87,2958.5,0
86.5,2958,0
86,2957.5,0
85.5,2957,0
85,2956.5,0
84.5,2956,0
84,2955.5,0
83.5,2955,0
83,2954.5,0
82.5,2954,0
82,2953.5,0
81.5,2953,0
81,2952.5,0
79,2951.5,0
76,2950.5,0
75,2950.5,0
74,2950.5,0
73,2950.5,0
72,2950.5,0
71,2950.5,0
70,2950.5,0
69,2950.5,0
68,2950.5,0
67,2950.5,0
66,2950.5,0
65,2950.5,0
64,2950.5,0
63,2950.5,0
62,2950.5,0
61,2950.5,0
60,2950.5,0
59,2950.5,0
58,2950.5,0
57,2950.5,0
56,2950.5,0
55,2950.5,0
54,2950.5,0
53,2950.5,0
52,2950.5,0
51,2950.5,0
50,2950.5,0
49,2950.5,0
48,2950.5,0
47,2950.5,0
46,2950.5,0
45,2950.5,0
44,2950.5,0
43,2950.5,0
42,2950.5,0
41,2950.5,0
40,2950.5,0
39,2950.5,0
38,2950.5,0
37,2950.5,0
36,2950.5,0
35,2950.5,0
34,2950.5,0
33,2950.5,0
31,2951.5,0
30.5,2952,0
30,2952.5,0
29.5,2953,0
29,2953.5,0
28.5,2954,0
28,2954.5,0
27.5,2955,0
27,2955.5,0
26.5,2956,0
26,2956.5,0
25.5,2957,0
25,2957.5,0
24.5,2958,0
24,2958.5,0
23.5,2959,0
23,2959.5,0
22.5,2960,0
22,2960.5,0
21.5,2961,0
21,2961.5,0
20.5,2962,0
20,2962.5,0
19.5,2963,0
19,2963.5,0
18.5,2964,0
18,2964.5,0
17.5,2965,0
17,2965.5,0
52.1256552695407,3025.66403254831,1
52.1256552695407,3025.66403254831,-1
-1,2,0
48,1250.5,0
